date,close,high,low,open
01/06/16.01.2016__00:00__AM,100.7,102.37,99.87,100.56
01/07/16.01.2016__00:00__AM,96.45,100.13,96.43,98.68
01/08/16.01.2016__00:00__AM,96.96,99.11,96.76,98.55
01/11/16.01.2016__00:00__AM,98.53,99.06,97.34,98.97
01/12/16.01.2016__00:00__AM,99.96,100.69,98.8399,100.55
01/13/16.01.2016__00:00__AM,97.39,101.19,97.3,100.32
01/14/16.01.2016__00:00__AM,99.52,100.48,95.74,97.96
01/15/16.01.2016__00:00__AM,97.13,97.71,95.36,96.2
01/19/16.01.2016__00:00__AM,96.66,98.65,95.5,98.41
01/20/16.01.2016__00:00__AM,96.79,98.1897,93.42,95.1
01/21/16.01.2016__00:00__AM,96.3,97.88,94.94,97.06
01/22/16.01.2016__00:00__AM,101.42,101.46,98.37,98.63
01/25/16.01.2016__00:00__AM,99.44,101.53,99.21,101.52
01/26/16.01.2016__00:00__AM,99.99,100.88,98.07,99.93
01/27/16.01.2016__00:00__AM,93.42,96.6289,93.34,96.04
01/28/16.01.2016__00:00__AM,94.09,94.52,92.39,93.79
01/29/16.01.2016__00:00__AM,97.34,97.34,94.35,94.79
02/01/16.02.2016__00:00__AM,96.43,96.71,95.4,96.47
02/02/16.02.2016__00:00__AM,94.48,96.04,94.28,95.42
02/03/16.02.2016__00:00__AM,96.35,96.84,94.08,95.0
02/04/16.02.2016__00:00__AM,96.6,97.33,95.19,95.86
02/05/16.02.2016__00:00__AM,94.02,96.92,93.69,96.52
02/08/16.02.2016__00:00__AM,95.01,95.7,93.04,93.13
02/09/16.02.2016__00:00__AM,94.99,95.94,93.93,94.29
02/10/16.02.2016__00:00__AM,94.27,96.35,94.1,95.92
02/11/16.02.2016__00:00__AM,93.7,94.72,92.59,93.79
02/12/16.02.2016__00:00__AM,93.99,94.5,93.01,94.19
02/16/16.02.2016__00:00__AM,96.64,96.85,94.61,95.02
02/17/16.02.2016__00:00__AM,98.12,98.21,96.15,96.67
02/18/16.02.2016__00:00__AM,96.26,98.89,96.091,98.84
02/19/16.02.2016__00:00__AM,96.04,96.7599,95.8,96.0
02/22/16.02.2016__00:00__AM,96.88,96.9,95.92,96.31
02/23/16.02.2016__00:00__AM,94.69,96.5,94.55,96.4
02/24/16.02.2016__00:00__AM,96.1,96.38,93.32,93.98
02/25/16.02.2016__00:00__AM,96.76,96.76,95.25,96.05
02/26/16.02.2016__00:00__AM,96.91,98.0237,96.58,97.2
02/29/16.02.2016__00:00__AM,96.69,98.23,96.65,96.86
03/01/16.03.2016__00:00__AM,100.53,100.77,97.42,97.65
03/02/16.03.2016__00:00__AM,100.75,100.89,99.64,100.51
03/03/16.03.2016__00:00__AM,101.5,101.7099,100.45,100.58
03/04/16.03.2016__00:00__AM,103.01,103.75,101.37,102.37
03/07/16.03.2016__00:00__AM,101.87,102.83,100.96,102.39
03/08/16.03.2016__00:00__AM,101.03,101.76,100.4,100.78
03/09/16.03.2016__00:00__AM,101.12,101.58,100.27,101.31
03/10/16.03.2016__00:00__AM,101.17,102.24,100.15,101.41
03/11/16.03.2016__00:00__AM,102.26,102.28,101.5,102.24
03/14/16.03.2016__00:00__AM,102.52,102.91,101.78,101.91
03/15/16.03.2016__00:00__AM,104.58,105.18,103.85,103.96
03/16/16.03.2016__00:00__AM,105.97,106.31,104.59,104.61
03/17/16.03.2016__00:00__AM,105.8,106.47,104.96,105.52
03/18/16.03.2016__00:00__AM,105.92,106.5,105.19,106.34
03/21/16.03.2016__00:00__AM,105.91,107.65,105.1401,105.93
03/22/16.03.2016__00:00__AM,106.72,107.29,105.21,105.25
03/23/16.03.2016__00:00__AM,106.13,107.07,105.9,106.48
03/24/16.03.2016__00:00__AM,105.67,106.25,104.89,105.47
03/28/16.03.2016__00:00__AM,105.19,106.19,105.06,106.0
03/29/16.03.2016__00:00__AM,107.68,107.79,104.88,104.89
03/30/16.03.2016__00:00__AM,109.56,110.42,108.6,108.65
03/31/16.03.2016__00:00__AM,108.99,109.9,108.88,109.72
04/01/16.04.2016__00:00__AM,109.99,110.0,108.2,108.78
04/04/16.04.2016__00:00__AM,111.12,112.19,110.27,110.42
04/05/16.04.2016__00:00__AM,109.81,110.73,109.42,109.51
04/06/16.04.2016__00:00__AM,110.96,110.98,109.2,110.23
04/07/16.04.2016__00:00__AM,108.54,110.42,108.121,109.95
04/08/16.04.2016__00:00__AM,108.66,109.77,108.17,108.91
04/11/16.04.2016__00:00__AM,109.02,110.61,108.83,108.97
04/12/16.04.2016__00:00__AM,110.44,110.5,108.66,109.34
04/13/16.04.2016__00:00__AM,112.04,112.34,110.8,110.8
04/14/16.04.2016__00:00__AM,112.1,112.39,111.33,111.62
04/15/16.04.2016__00:00__AM,109.85,112.3,109.73,112.11
04/18/16.04.2016__00:00__AM,107.48,108.95,106.94,108.89
04/19/16.04.2016__00:00__AM,106.91,108.0,106.23,107.88
04/20/16.04.2016__00:00__AM,107.13,108.09,106.06,106.64
04/21/16.04.2016__00:00__AM,105.97,106.93,105.52,106.93
04/22/16.04.2016__00:00__AM,105.68,106.48,104.62,105.01
04/25/16.04.2016__00:00__AM,105.08,105.65,104.51,105.0
04/26/16.04.2016__00:00__AM,104.35,105.3,103.91,103.91
04/27/16.04.2016__00:00__AM,97.82,98.71,95.68,96.0
04/28/16.04.2016__00:00__AM,94.83,97.88,94.25,97.61
04/29/16.04.2016__00:00__AM,93.74,94.72,92.51,93.99
05/02/16.05.2016__00:00__AM,93.64,94.08,92.4,93.965
05/03/16.05.2016__00:00__AM,95.18,95.74,93.68,94.2
05/04/16.05.2016__00:00__AM,94.19,95.9,93.82,95.2
05/05/16.05.2016__00:00__AM,93.24,94.07,92.68,94.0
05/06/16.05.2016__00:00__AM,92.72,93.45,91.85,93.37
05/09/16.05.2016__00:00__AM,92.79,93.77,92.59,93.0
05/10/16.05.2016__00:00__AM,93.42,93.57,92.11,93.33
05/11/16.05.2016__00:00__AM,92.51,93.57,92.46,93.48
05/12/16.05.2016__00:00__AM,90.34,92.78,89.47,92.72
05/13/16.05.2016__00:00__AM,90.52,91.67,90.0,90.0
05/16/16.05.2016__00:00__AM,93.88,94.39,91.65,92.39
05/17/16.05.2016__00:00__AM,93.49,94.7,93.01,94.55
05/18/16.05.2016__00:00__AM,94.56,95.21,93.89,94.16
05/19/16.05.2016__00:00__AM,94.2,94.64,93.57,94.64
05/20/16.05.2016__00:00__AM,95.22,95.43,94.52,94.64
05/23/16.05.2016__00:00__AM,96.43,97.19,95.67,95.87
05/24/16.05.2016__00:00__AM,97.9,98.09,96.84,97.22
05/25/16.05.2016__00:00__AM,99.62,99.74,98.11,98.67
05/26/16.05.2016__00:00__AM,100.41,100.73,98.64,99.68
05/27/16.05.2016__00:00__AM,100.35,100.47,99.245,99.44
05/31/16.05.2016__00:00__AM,99.86,100.4,98.82,99.6
06/01/16.06.2016__00:00__AM,98.46,99.54,98.33,99.02
06/02/16.06.2016__00:00__AM,97.72,97.84,96.63,97.6
06/03/16.06.2016__00:00__AM,97.92,98.27,97.45,97.79
06/06/16.06.2016__00:00__AM,98.63,101.89,97.55,97.99
06/07/16.06.2016__00:00__AM,99.03,99.87,98.96,99.25
06/08/16.06.2016__00:00__AM,98.94,99.56,98.68,99.02
06/09/16.06.2016__00:00__AM,99.65,99.99,98.46,98.5
06/10/16.06.2016__00:00__AM,98.83,99.3457,98.48,98.53
06/13/16.06.2016__00:00__AM,97.34,99.12,97.1,98.69
